Name,Category,Description,Price
Chamomile ,Tea,Delicate sweet and fruity.,2.5
Green,Tea,Earthy and delicate.,2.5
Cinnamon stick,Tea,Blend of black tea and cinnamon.,2.5
White,Tea,Floral  light and sweet.,2.5
English Breakfast,Tea,Robust rich black tea with milk and sugar.,2.5
Chai,Latte,Fragrant black tea blended with spices.,4
Londen Fog,Latte,Earl grey latte with a hint of licorice.,4
Golden,Latte,Turmeric latte.,5
Matcha,Latte,Earthy creamy full bodied green tea.,4
Blue Moon,Latte,Blue matcha latte using Ashwagandha.,5
Pink Moon,Latte,Rose cardamom tea.,5
Macchiato,Coffee,Espresso with a dash of steamed milk.,2.5
Americano,Coffee,Espresso diluted with hot water.,3
Cappucino,Coffee,Coffee made with milk that has been frothed.,3
Latte,Coffee,Espresso and hot steamed milk.,3.5
Mocha,Coffee,Latte with chocolate.,4
Affogato,Coffee,Ice cream drowned in espresso.,5
Cold Brew,Coffee,Coffee brewed using cold water.,4
Thai Tea,Chilled,Spiced black tea with condensed milk.,3.5
Lavender Lemonade,Chilled,Lemonade with a hint of lavender.,3.5
Southern Sweet Tea,Chilled,Sweetened iced black tea.,3.5
Scone,Sweet,Glazed cranberry orange scone.,4
Brownie,Sweet,Rich fudgy chocolate brownie.,3
Chai snickerdoodle,Sweet,Flavored with chai spice blend.,3
Lemon poppyseed cake,Sweet,Refreshing lemon poppyseed cake.,2.5
Cupcake,Sweet,Lavender with cream cheese frosting.,3
Tea Sandwich,Savory,Variety of tea sandwhiches.,3
Quiche,Savory,Bacon and spinach quiche.,4
